City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,tianpeng,30.9866,103.9393,19.29000000000002,74,98,2.51,CN,1678374123
265,pacific grove,36.6177,-121.9166,7.060000000000002,88,100,0.45,US,1678374262
266,igrim,63.1906,64.4162,-7.759999999999991,90,100,7.37,RU,1678374262
267,mahajanga,-15.7167,46.3167,27.57000000000005,78,100,3.03,MG,1678374262
268,soria,41.6667,-2.6667,8.390000000000043,100,60,11.53,ES,1678374241
269,liverpool,53.4106,-2.9779,3.410000000000025,94,100,6.69,GB,1678374262
270,coihaique,-45.5752,-72.0662,14.340000000000032,58,40,2.57,CL,1678373813
271,lovington,32.944,-103.3485,8.470000000000027,76,96,1.53,US,1678374263
272,matamoros,25.5333,-103.25,20.060000000000002,61,86,0.44,MX,1678374263
273,lazarev,52.225,141.5131,-10.539999999999964,94,100,3.38,RU,1678374263
274,moanda,-1.5575,13.2178,32.78000000000003,46,70,0.72,GA,1678374264
275,asau,46.4333,26.4,15.510000000000048,72,100,3.04,RO,1678374082
276,hofn,64.2539,-15.2082,-1.9899999999999523,43,75,10.8,IS,1678374049
277,odienne,9.51,-7.5692,40.210000000000036,5,45,1.12,CI,1678374265
278,luena,-11.7833,19.9167,23.360000000000014,80,98,1.09,AO,1678374265
279,biak,-0.9131,122.8766,24.610000000000014,84,87,0.92,ID,1678374265
280,port-gentil,-0.7193,8.7815,29.980000000000018,79,40,6.69,GA,1678373914
281,bilibino,68.0546,166.4372,-22.089999999999975,97,89,1.62,RU,1678374266
282,ayan,56.45,138.1667,-13.259999999999991,94,100,3.98,RU,1678374266
283,oliveira dos brejinhos,-12.3169,-42.8961,35.170000000000016,19,64,2.29,BR,1678374266
284,masterton,-40.9597,175.6575,17.160000000000025,85,100,3.1,NZ,1678374266
285,praia da vitoria,38.7333,-27.0667,18.75,94,75,13.36,PT,1678373932
286,mwene-ditu,-7.0,23.45,25.150000000000034,80,100,1.65,CD,1678374267
287,ialibu,-6.2821,143.9935,13.360000000000014,97,100,0.88,PG,1678374267
288,krutinka,56.0055,71.5113,-2.2799999999999727,92,100,7.03,RU,1678374268
289,xuddur,4.1213,43.8894,34.29000000000002,21,13,5.39,SO,1678374268
290,turukhansk,65.8167,87.9833,-25.69999999999999,99,54,2.5,RU,1678374077
291,groningen,53.25,6.75,4.460000000000036,79,100,3.6,NL,1678374213
292,indianola,41.3581,-93.5574,0.9200000000000159,96,100,4.19,US,1678374269
293,black river,18.0264,-77.8487,26.78000000000003,54,99,1.62,JM,1678374269
294,georgetown,5.4112,100.3354,26.970000000000027,83,20,1.54,MY,1678373969
295,east london,-33.0153,27.9116,26.52000000000004,69,0,3.6,ZA,1678373895
296,bereda,43.2686,-7.5406,14.520000000000039,87,72,5.54,ES,1678374066
297,ketchikan,55.3422,-131.6461,-4.909999999999968,74,60,2.35,US,1678374099
298,nabire,-3.3667,135.4833,24.970000000000027,87,71,1.3,ID,1678374270
299,hamilton,39.1834,-84.5333,4.670000000000016,70,92,3.58,US,1678373739
300,port hedland,-20.3167,118.5667,30.24000000000001,69,41,6.33,AU,1678374098
301,leh,34.1667,77.5833,-11.169999999999959,54,0,1.63,IN,1678374270
302,easton,40.6884,-75.2207,6.410000000000025,57,0,5.14,US,1678374271
303,najran,17.4924,44.1277,26.590000000000032,29,38,3.28,SA,1678374007
304,olafsvik,64.8945,-23.7142,-1.8199999999999932,65,100,11.07,IS,1678374070
305,jennings,38.7192,-90.2604,7.890000000000043,53,100,5.66,US,1678374271
306,hay river,60.8156,-115.7999,-18.589999999999975,95,30,3.25,CA,1678374272
307,sieradz,51.5958,18.7302,0.8300000000000409,93,100,2.02,PL,1678374013
308,waipawa,-41.4122,175.5153,16.83000000000004,82,100,5.59,NZ,1678374272
309,acarau,-2.8856,-40.12,29.970000000000027,65,96,5.61,BR,1678374272
310,sassandra,4.95,-6.0833,30.220000000000027,66,81,2.76,CI,1678374272
311,katherine,-14.4667,132.2667,23.370000000000005,71,100,1.75,AU,1678374273
312,camacupa,-12.0167,17.4833,22.0,83,100,0.64,AO,1678374273
